Workload, Action, Type, Result
B, [UPDATE], MaxLatency(us), 1379
B, [UPDATE], 95thPercentileLatency(us), 1206
B, [UPDATE], 99thPercentileLatency(us), 1379
B, [UPDATE], Return=OK, 45
C, [OVERALL], RunTime(ms), 361
C, [OVERALL], Throughput(ops/sec), 2770.083102493075
C, [TOTAL_GCS_scavenge], Count, 13
C, [TOTAL_GC_TIME_scavenge], Time(ms), 30
C, [TOTAL_GC_TIME_%_scavenge], Time(%), 8.310249307479225
C, [TOTAL_GCS_global], Count, 0
C, [TOTAL_GC_TIME_global], Time(ms), 0
C, [TOTAL_GC_TIME_%_global], Time(%), 0.0
C, [TOTAL_GCs], Count, 13
C, [TOTAL_GC_TIME], Time(ms), 30
C, [TOTAL_GC_TIME_%], Time(%), 8.310249307479225
C, [READ], Operations, 1000
C, [READ], AverageLatency(us), 248.516
C, [READ], MinLatency(us), 138
C, [READ], MaxLatency(us), 9615
C, [READ], 95thPercentileLatency(us), 350
C, [READ], 99thPercentileLatency(us), 1236
C, [READ], Return=OK, 1000
C, [CLEANUP], Operations, 1
C, [CLEANUP], AverageLatency(us), 996.0
C, [CLEANUP], MinLatency(us), 996
C, [CLEANUP], MaxLatency(us), 996
C, [CLEANUP], 95thPercentileLatency(us), 996
C, [CLEANUP], 99thPercentileLatency(us), 996
